surface	gloss	supergloss	supercompound	display gloss	i	a	COMMENTS/TODOS	alt_gloss	noun/pronoun	phonetic noun	adj/adv	verb	quantifier	conjunction	preposition	affix	interjection	fn	cognates	tok
	self-energy	act			973		note: self-do/self-energy = act/become		attitude			to act; to behave								
	self-time	just			974						just (past); just about to (future); just now; right now									
	with-time-person	classmate	meeting-person		975				classmate											
	energy-link	internet			976				internet; web											
	place energy-link				977						online									
	down-get	download			977.5				download			to download sth								
	over-give	upload			977.6				upload			to upload sth								
	energy-link-place	website	internet-place		978				website; site											
	small-light	flashlight			979				flashlight											
	dark-over-light	moon	dark-sun		980		Previously: dark-time-over-light, aka night-sun, and then dark-time-light, aka night-light. But these got too long.	dark-time-light, aka night-light	moon; moonlight; month											mun
	person-number	community			981		TODO: community vs culture?	consider being-???; being-group	community; culture; being-group; group of people; group identity; granfalloon										twa/twai (en:tribe; zh:tuan)	
	talk-color	dialect			982			color-tongue	dialect; accent											
	no-sound	silence			983				silence; quietness		silent; quiet	to be quiet								
	flat-stuff of this-time-person-number				984			this-time-being-group-body-cloth	current fashion											
	flat-stuff of person-number				985			being-group-body-cloth	fashion											
	person-number-eat	cuisine	community-eat		986			being-group-eat	cuisine											
	person-number-stuff	culture	community-stuff		987			being-group-stuff	culture											
	go-thing	vehicle			988				vehicle											
	distance-go	trip			989				trip; travel			to travel (to swh)								
	container-go-thing	elevator	container-vehicle		990				elevator											
	no-side-go-thing	car	ball-vehicle		991		aka wheel-go		car; wagon											
	hot-energy-go-thing	train	fire-vehicle		992				train											
	give-metal-go-thing	taxi	pay-vehicle		993				taxi											
	flat-energy-go	vacation	peace-go		994				vacation			to go on vacation (to swh)								
	direction-over-do-thing	stairs	direction-over-device		995				stairs											
	self-go-direction-over--do-thing	escalator	self-go-stairs		996				escalator											
	two--no-side-go-thing	bicycle	two-ball-vehicle		997			two-all-side	bicycle											
	water-go-thing	boat	water-vehicle		998				boat											
	other-way-go	return	other-way-go		999				return trip			to go back; to return								
	other-talk	answer			1000				answer; reply			to answer sth/sb; to reply to sth/sb								
	all-direction-break	explosion	all-direction-break		1001			sudden-break; direction-anti-inside-break	explosion		burst									
	back--all-think	prejudice	back-decision		1002		already finished thinking about it	front--all-think	prejudice		biased; prejudiced	to act in a prejudiced way; to prejudice sb								
	all-eat	eat_up			1003		"end-eat" is also fine. But this seems less like it needs a bespoke verb, vs find/arrive, which feel more fundamental.	eat like end				to eat sth up								
	all-go	arrival			1004			all-go; go like all	arrival			to arrive swh								
	all-seek	find			1005		do correctly	good-all-do			found	to find sth								
	all-want	get_by_wanting			1006							to get sth by wanting; to manifest sth								
	must-all-think-time	trial	must-decision-time		1007		redo	think-front--all-think (everyone thinks and then decides); group-must--all-think-time; must-all-think-time	trial											
	other-other go				1008							to keep going swh								
	other-other hard-surface				1009				repeated hitting			to hit repeatedly; to hit sth repeatedly								
	all-person	everyone			1010				everyone; anyone		public									
	all-number	total			1011				total; sum		total									
	all-place	everywhere			1012				everywhere; anywhere											
	all reason				1013															
	all-thing	everything			1014				everything											
	all-big-thing	world	all-big-thing		1015			big-all-thing	the world; the universe		universal; global									
	all-time	all_the_time			1016				all the time; every time; always; any time											
	all way				1017						anyway; anyways; whatever the case									
	person like all-possibility				1018			no-specific-person	someone		someone									
	number like all-possibility				1019			no-specific-number	some amount		some amount									
	place like all-possibility				1020			no-specific-place	somewhere; region		somewhere; region									
	reason like all-possibility				1021			no-specific-reason	for some reason		for some reason									
	thing like all-possibility				1022			no-specific-thing	something		something									
	time like all-possibility				1023			no-specific-time	sometime		sometime									
	way like all-possibility				1024			no-specific-way	somehow		somehow									
	that number				1025		TODO "that much" versus "them"		that much											
	that-place	there			1026				there											
	that-reason	because2			1027									because; thanks to						
	that-time	then			1028				then; while											
	that-way	thus2			1029				that way; like that; thus											
	this number				1030		TODO "this much" versus "them"		this much; these											
	this-place	here			1031				here											
	this-reason	because			1032				because; thanks to											
	this-time	now			1033				now											
	this-time self				1034				<disambiguation form> right now; this very moment (distinguishing from this-time meaning "then")											
	this-way	thus			1035				like this; thus											
	what-person	who			1036				who; whom											
	what-number	how_much			1037				how much											
	what-place	where			1038				where											
	what-reason	why			1039				why											
	what-time	when			1040				when											
	what-way	how			1041				how											
	what-way-see	test	how-see						test; exam; quiz; probe			to test sth/sb; to quiz sth/sb; to probe sth								
	no person				1042				no-one											
	no number				1043				none											
	no place				1044				nowhere											
	no reason				1045				for no reason											
	no thing				1046				nothing											
	no time				1047				never											
	no way				1048				no way											
	give-reason	therefore			1049			give reason	therefore; so											
	use-thing	tool			1050			do-thing	tool											ilo
	small-break-thing	knife	cut-thing		1051				knife											
	do-mark-thing	pen	do-mark-thing		1052				pen											
	get-think-place	school	study-place		1053			get-know-place	school											
	get-think-place-time	education	school-time		1053.5				education; schooling											
	get-think-time	lesson	study-time		1054				lesson; class period											
	big-get-think-place	university	big-school		1055		大学	big-get-know-place	university; college											
	think-way	ology			1056				discipline (school of thought); bani (Carnatic music); -ology; school of thought; subject (academic)											
	life-think-way	biology	life-ology		1057				biology											
	think-think-way	psychology	think-ology		1058				psychology											
	self-way-think-way	discipline_of_philosophy	nature-ology		1059				philosophy											
	self-way-think	philosophy	nature-think		1060				philosophy											
	stuff-think-way	chemistry	stuff-ology		1061				chemistry											
	move-think-way	physics	move-ology		1062		this isn't a great gloss---gumengwe could also be good...		physics											
	big-self-way-think-way	earthscience	naturaleza-ology		1063				earth sciences; ecology											
	hard-thing-think-way	geology	stone-ology		1064				geology											
	no-new-think-way	archeology	old-ology		1065				archeology											
	back-time-think-way	history	before-ology		1066				history											
	new-be-eat-place	kitchen	create-eat-place		1067				kitchen											
	number-think-way	mathematics	number-ology		1068				mathematics											
	think-stuff-think-way	informatics	information-ology		1069				informatics; computer science											
	metal-think-way	economics	metal-ology		1070				economics											
	body-metal-think-way	metalurgy	body-metal-ology		1071															
	water-go-place	swimming_pool	swim-place		1072				swimming pool											
	hard-do-place	workplace	work-place		1073				workplace; office											
	hard-do-person	worker	work-person		1073.5				worker; employee; staff; proletariat; workman											
	hard-do-big-container	office_building	work-house		1074		work-house		office building											
	place direction do no-dirt flat-stuff	laundromat			1075				laundromat											
	eat-place	restaurant			1076				restaurant											
	water-eat-place	pub	drink-place		1077				pub; tavern; watering hole											
	good-move	dance			1078				dance			to dance (with sb)								
	good-move-place	club	dance-place		1079				club											
	good-move-person	dancer	dance-person		1080				dancer											
	through-see-hard	glass	transparent-hard		1081		aka aka see-through stone; reduced supercompound from transparent-hard (context obviates; hi caffeine)		glass		glasslike; glassy									
	water-container	cup			1082				cup											
	flat-stuff-container	bag	cloth-container		1083				bag			to wrap sth (with cloth)								
	back-flat-stuff-container	backpack	back-bag		1084				backpack			to carry sth in a backpack								
	big-plant-stuff-container	box	wood-container		1085				box; cupboard; closet; drawer; chest of drawers											
	metal-container	purse			1086		aka money container		wallet; purse											
	what-over	comparison			1087				comparison; competition		competitive	to compare (X and Y: X with Y); to compete (with sb); to contrast; compete to do sth								
	eat-animal-animal	predator	eat-animal-animal		1088				predator		predatory									
	eat-animal-air-animal	raptor	eat-animal-bird		1089				raptor; bird of prey											
	big-think-air-animal	corvid	smart-bird		1090				corvid											
	dark--big-think-air-animal	crow/raven	dark-corvid		1091				crow;raven											
	middle--dark-big-think--air-animal	crow	middle-crow/raven		1092				crow											
	big--dark-big-think--air-animal	raven	big-crow/raven		1093				raven											
	water-color--big-think-air-animal	jay	blue-corvid		1094		aka blue smartbird		jay											
	number-person-do	event	number-person-do		1095			group-being-do	event			to have an event								
	good-move-thing	dance_event	dance-thing		1096			good-move-group-being-do; good-move--number-person-do	dance (dance event)											
	eat-container	bowl			1097			eat-stuff-container	bowl; cup; tupperware; tup											
	flat-eat-container	plate	flat-bowl		1098			eat-stuff-flat-thing; eat-flat-thing; food-board	<disambiguation_form> plate											
	no-long-use	temporary	no-long-use		1099						temporary									
	give thing like no-long-use direction person				1100							to lend sth to sb								
	get thing like no-long-use of person				1101							to borrow sth from sb								
	small-time-get	borrow	small-time-get		1101.4				loan			to borrow sth (of sb: de mang)								
	high-do	respect			1102				respect; honor		respectful; honorable	to respect sth/sb; to honor sth/sb								olin
	self-hard-think	self_knowledge	self-know		1103			self-know	self knowledge											
	think-can	confidence			1104			know-can	confidence		confident									
	think-can of self				1105			know-can of self	self-confidence											
	go see thing				1106				tour			to tour swh								
	energy-energy	energetic			1107				energeticness		energetic									
	flat-container	envelope			1108		aka paper-container		envelope											
	other-time-sound	echo	other-time-sound		1109				echo; chorus (song)		echoey	to echo								
	good-sound-part	verse	music-part		1110				verse (in a song)											
	metal-link	chain			1111				chain											
	hot-opening-see	spice	hot-taste		1112				spice		spicy									
	no-want-move	laziness	no-want-move		1113				laziness		lazy	to loaf								
	hard-side	wall			1114			do-no-go-thing	wall											
	with-think	empathy			1115				empathy		empathetic	to show empathy (to sb)								
	have-small-through	sponge	have-small-through		1116		aka has small holes	porous: many micro hole	sponge		porous									
	direction-part-break	destruction	direction-part-break		1117		"DECIDED: annoying that there isnt really a way of expressing ""into"" in the sense of ""to break into parts"". But ""direction"" will fill this, e.g. ""break it to parts"".
TODO: slow destroy is to decompose?"	digest, decompose: antiwhole?	destruction; decomposition;		shattered; broken	to destroy sth; to break sth into parts; to digest sth; to shatter sth; to decompose sth; to decay								
	middle-part	belly			1118			direction-part-break-part (digest food part)	stomach; belly											
	energy-part of middle-part				1119				abs											
	person-place	settlement			1120				town; city; village; settlement; habitation			to settle swh								
	person-place like start				1121				hometown											
	small-person-place	village	small-settlement		1122				village											
	big-person-place	city	big-settlement		1123				city											
	order-play	chess			1124				chess; go; a strategy game like chess											
	container-order-play	weiqi	container-chess		1125				go; weiqi; baduk			to play go/weiqi/baduk								
	jump-order-play	checkers	jump-chess		1126				checkers			to play checkers								
	direction-four-order-play	western_chess	west-chess		1127				chess (Western chess)			to play chess								
	direction-two-order-play	chinese_chess	east-chess		1128				Chinese chess			to play Chinese chess								
	no-order-order-play	RandomCopingChess	random-chess		1129				Random Coping Chess											
	play-part	playing_piece			1130				piece (in a game)											
	big-body	fat			1131				fatness		fat									
	play-flat-thing	game_board	play-board		1132				board (in a game)											
	big-against	war			1133			end-life-number-person-do	war			to go to war								
	against-person-number	army	soldier-number		1134			conflict; fight	army; military											
	love-against	aggressive			1135				aggression		aggressive									
	no-love-against	docile	no-aggressive		1136				pacifism		pacifist; docile; peaceful									
	hard-go	slog			1137				march; slog			to march; to slog								
	end-life	kill			1138		TODO no-life ? does end-even need its own atom?					to kill sb; to murder sb; to assassinate sb								
	end-life-person	killer	kill-person		1139				killer; assassin											
	against-person	soldier			1140				fighter			to fight sb								
	inside-arm-thing	example	inside-arm-thing		1141			like-this-thing	example											
	direction-do	serve			1149				service			to serve (sth/sb)								
	direction-person-thing	product	direction-person-thing		1150				product											
	thing like truth				1151												in fact			
	all of				1152						all of; the whole									
	big-no-hot	freeze	big-cold		1153						freezing	to freeze								
	of-thing	topic			1154				theme; topic; issue; matter		relevant; topical	to pertain to sth; concern								
	small-of-thing	motif	small-topic		1155				motif											
	big-what-talk	beg	big-ask		1156							to beg (for sth); to plead (for sth);								
	big-sound	yell			1157				loud noise; yell; shout			to yell at sb; to shout at sb								
	talk-way	pronunciation			1158				pronunciation; accent		accented									
	mark-way	grammar			1159				grammar		grammatical									
	new-talk	introduction			1160				introduction			to introduce sth								
	small-no-side-fruit	berry	small-ball-fruit		1161				berry											
	number-two	number_two			1163		written together for ease				number two									
	sour-container-stuff	sourdough	sour-dough		1164				sourdough		sourdough									
	two-kind-love	bisexual	two-kind-love		1165				bisexual		bisexual; bi									
	number-kind-love	polyamory	number-kind-love		1166				polyamory		polyamorous									
	other-kind-love	heterosexual	other-kind-love		1167				straightness; heterosexuality		straight; heterosexual									
	this-good-go	welcome	this-good-go		1168		should be "good-this-go", but vowel-initials sink to bottom of word		welcome		welcoming	to welcome sb								
	small-hard-side	fence	small-wall		1169															
	hard-no-opening	lock	hard-closed		1170				lock		locked	to lock sth								
	do-opening-thing	key	do-opening-thing		1170.3				key											
	have time				1171						sometimes									
	have-big-number-thing	busy	have-many-thing		1172				business		busy	to be busy; to busy about								
	love-give	generosity			1173				generosity		generous									
	can-body	malleable			1174		aka can-form				malleable; moldable									
	self-metal	value			1175		TODO bad gloss. big-think should be "to vlaue", but smart collision. big-thing? heart-gold? rare? kulibi? dayau? mengkang?		value; worth		valuable	to value sth; to treasure sth								
	small-see	rare			1176				rarity		rare									
	small-see-thing	treasure	rare-thing		1177				treasure											
	one-over	one_times_ten_to_the			1178															
	one-over-two	hundred	one_times_ten_to_the-two		1179				one hundred											
	one-over-three	thousand	one_times_ten_to_the-three		1180				one thousand											
	two-over-two	two_hundred	two-over-two		1180.1				two hundred											
	two-over-three	two_thousand	two-over-three		1180.2				two thousand											
	one-over-four	wan	one_times_ten_to_the-four		1181				ten thousand											
	one-over-five	lakh	one_times_ten_to_the-five		1182				one hundred thousand (one lakh)											
	one-over-six	million	one_times_ten_to_the-six		1183				one million											
	one-over-seven	crore	one_times_ten_to_the-seven		1184				ten million (one crore)											
	one-over-eight	yi	one_times_ten_to_the-eight		1185				100 million											
	one-over-nine	billion	one_times_ten_to_the-nine		1186				one billion											
	one-over-one-no	arab	one_times_ten_to_the-ten		1187				ten billion (one arab)											
	one-over-one-one	ten_arab	one_times_ten_to_the-eleven		1187.1															
	one-over-one-two	trillion	one_times_ten_to_the-twelve		1187.2															
	nine-eight-over-one-two	98_trillion	nine-eight-over-one-two		1187.3															
	energy-arm	strike			1188				strike; blow			to strike; to whip; to hit								
	link-energy-arm	whip	link-strike		1189				whip			to whip; to flog								
	give-thing	gift			1190				gift											
	female-talk	mother_tongue			1191				mother tongue											
	good-life	good_life			1192				the good life											
	head-over	crest			1193				crest; top of the head											
	love-love	mama			1194				mama											
	no-arm-have	misunderstanding	no-grasp		1195				misunderstanding; lack of understanding		misunderstood	to misunderstand sth								
	one-one-five	115	one-one-five		1196				one hundred and fifteen											
	one-way-thing	equivalent	same-thing		1197				equivalent											
	that-four	that4			1199						that #4									
	that-three	that3			1200						that #3									
	back do be				1201							was; were								
	that-two	that2			1201						that #2									
	water-arm-long-animal	salamander	water-lizard		1202				salamander											
	yellow-head-over-air-animal	golden_crowned_sparrow	yellow-crest-bird		1203				Golden Crowned Sparrow											
	yellow-hot-cat	Orangecat	orange-cat		1204				Orange Cat (name)											
	do be				1261							is; are								
	of me				1321						my; mine									
	of you				1381						your; yours									
	of this				1441						his									
	of me-number				1501			of me-group			ours; our									
	of this-number				1561			of this-group			their; theirs									
	over good				1621						best									
	more good				1681						better									
	like-person-animal	monkey	like-person-animal		1741				monkey; ape											
	tooth-water-animal	shark	tooth-fish		1801				shark											
	salt-fruit	tomato			1861		aka savory fruit		tomato											
	light-eat	rice			1921		aka "white food". rice is fundamental enough to merit this honor.		rice											
	person-go	mango			1981		considered big-sweet-fruit, but if English, Chinese, Tagalog, Indonesian have the cognate, it seems fine. Pity about Hindi and Vietnamese.		mango											
					2041															
					2101															
					2161															
					2221															
					2281															
																				
																				
	use-person	user							user											
	place-way	ambiance							ambiance; feng shui											
	self-person	personal									personal; private									
te	ATOM_TE			"te"	7001				the sound "te" (used in proper nouns)											
eng	ATOM_ENG			"eng"	7002				the sound "eng" (used in proper nouns)											
sing	ATOM_SING			"sing"	7003				the sound "sing" (used in proper nouns)											
beng	ATOM_BENG			"beng"	7004				Ben (name); the sound "beng" (used in proper nouns)											
	get-jump-fruit	grape	get-jump-fruit		8001		proper noun / phonetic noun			grape										
	egg-life-eat	Isaac	egg-life-eat		8002		proper noun / phonetic noun			Isaac										
	energy-life	Lisa			8003		proper noun / phonetic noun			Lisa										
	ATOM_TE-with	Trevor!			8004		proper noun / phonetic noun			Trevor!										
	hot-person	Raman			8005		proper noun / phonetic noun			Raman										
	all-move-life	Odis	all-move-life		8006		proper noun / phonetic noun			Odis										
	this-life-front-hot	Isabel	this-life-front-hot		8007		proper noun / phonetic noun			Isabel										
	big-dark-what-hot	Daniel	big-dark-what-hot		8008		proper noun / phonetic noun			Daniel										
	get-down-fruit	Puspa	get-down-fruit		8009		proper noun / phonetic noun			Puspa										
	dark-eat	Nick			8010		proper noun / phonetic noun			Nick										
	that-be	Abby			8011		proper noun / phonetic noun			Abby										
	you-over	Utah			8012		proper noun / phonetic noun			Utah										
	eat-life-way-hot	Caswell	eat-life-way-hot		8013		proper noun / phonetic noun			Caswell										
	of-with	Dave			8014		proper noun / phonetic noun			Dave										
	what-talk-play-long-head	Esperanto	what-talk-play-long-head		8015		proper noun / phonetic noun			Esperanto										
	what-water-fruit	Europe	what-water-fruit		8016		proper noun / phonetic noun			Europe										
	plant-inside-over	Planeta_(name)	plant-inside-over		8017		proper noun / phonetic noun			Planeta (name)										
	talk-like-small	Sesowi	talk-like-small		8018		proper noun / phonetic noun			Sesowi										
	eat-hot-hot	Clara	eat-hot-hot		8019		proper noun / phonetic noun			Clara										
	eat-eat-eat	hahaha	eat-eat-eat		8020		proper noun / phonetic noun			hahaha										
	that-eat-talk	Akshay	that-eat-talk		8021		proper noun / phonetic noun			Akshay										
	that-fruit-hot-number	Aparna	that-fruit-hot-number		8022		proper noun / phonetic noun			Aparna										
	sing-three-that	Cynthia	sing-three-that		8023		proper noun / phonetic noun			Cynthia										
	sound-move	Sandy			8024		proper noun / phonetic noun			Sandy										
	six-energy	Lowry			8025		proper noun / phonetic noun			Lowry										
	high-number	Gina			8026		proper noun / phonetic noun			Gina										
	hard-eat	Huck			8027		proper noun / phonetic noun; "kukka" is "dog" in many Indian languages			Huck										
	be-front-eat	Vivek	be-front-eat		8028		proper noun / phonetic noun; could be "wiweka" too			Vivek										
	this-life	Eesha			8029		proper noun / phonetic noun			Eesha										
	me-see-three	Mishti	me-see-three		8030		proper noun / phonetic noun			Mishti										
	hot-see-with	Rajiv	hot-see-with		8031		proper noun / phonetic noun			Rajiv										
	be-hot	Vir			8032		proper noun / phonetic noun; or "wila"			Vir										
	see-big	Sid			8033		proper noun / phonetic noun			Sid										
	me-talk-hot	Mishel	me-talk-hot		8034		proper noun / phonetic noun			Mishel										
	front-water-dark-eat	Veronica	front-water-dark-eat		8035		proper noun / phonetic noun			Veronica										
	surface-over	Peter			8036		proper noun / phonetic noun			Peter										
	break-bing	Kevin			8037		proper noun / phonetic noun			Kevin										
	break-law-number	Helen	break-law-number		8038		proper noun / phonetic noun			Helen										
	that-law-number	Alena	that-law-number		8039		proper noun / phonetic noun			Alena										
	place-over	Ruth			8040		proper noun / phonetic noun			Ruth										
	that-with-long	Avalon	that-with-long		8041		proper noun / phonetic noun			Avalon										
	with-long	Bran			8042		proper noun / phonetic noun			Bran										
	talk-eat	Jake			8043		proper noun / phonetic noun			Jake										
	love-energy-that	Maria	love-energy-that		8044		proper noun / phonetic noun			Maria										
	surface-energy-fruit	Philip	surface-energy-fruit		8045		proper noun / phonetic noun			Philip										
	eat-long	Calum			8046		proper noun / phonetic noun			Calum										
	life-number	John;_Johan;_Giovanni;_Sean			8047		proper noun / phonetic noun			John; Johan; Giovanni; Sean										
	back-number	Jan;_Ian			8048		proper noun / phonetic noun			Jan; Ian										
	arm-arm-move-hot	crocodile	arm-arm-move-hot		8049		proper noun / phonetic noun			crocodile										
	air-small-fruit	kiwi_(fruit)	air-small-fruit		8050		proper noun / phonetic noun			kiwi (fruit)										
	that-back-long	Ireland_(country)	that-back-long		8051		proper noun / phonetic noun			Ireland (country)										
	see-no-talk	mandarin_chinese_(language)	see-no-talk		8052		proper noun / phonetic noun			mandarin chinese (language)										
	ATOM_ENG-energy-talk	English_(language)	ATOM_ENG-energy-talk		8053		proper noun / phonetic noun			English (language)										
	eight-hot-talk	Bengali_(language)	eight-hot-talk		8054		proper noun / phonetic noun			Bengali (language)										
	over-me-hot-talk	Tamil_(language)	over-me-hot-talk		8055		proper noun / phonetic noun			Tamil (language)										
	love-hot-three-talk	Marathi_(language)	love-hot-three-talk		8056		proper noun / phonetic noun			Marathi (language)										
	this-over-energy-that-no	Italian_(language)	this-over-energy-that-no		8057		proper noun / phonetic noun			Italian (language)										
	time-talk	Thai_(language)			8058		proper noun / phonetic noun			Thai (language)										
	fruit-life-head-talk	Pashto_(language)	fruit-life-head-talk		8059		proper noun / phonetic noun			Pashto (language)										
	have-place-with-talk	Yoruba_(language)	have-place-with-talk		8060		proper noun / phonetic noun			Yoruba (language)										
	get-hot-talk	Fulani_(language)	get-hot-talk		8061		proper noun / phonetic noun			Fulani (language)										
	surface-energy-surface-no-talk	Filipino_(language)	surface-energy-surface-no-talk		8062		proper noun / phonetic noun			Filipino (language)										
	that-one-move-talk	Awadhi_(language)	that-one-move-talk		8063		proper noun / phonetic noun			Awadhi (language)										
	this-body-talk	Igbo_(language)	this-body-talk		8064		proper noun / phonetic noun			Igbo (language)										
	sing-move-talk	Sindhi_(language)	sing-move-talk		8065		proper noun / phonetic noun			Sindhi (language)										
	love-hot-good-talk	Malagasy_(language)	love-hot-good-talk		8066		proper noun / phonetic noun			Malagasy (language)										
	love-one-energy-talk	Marwari_(language)	love-one-energy-talk		8067		proper noun / phonetic noun			Marwari (language)										
	big-energy-talk	Dari_(language)	big-energy-talk		8068		proper noun / phonetic noun			Dari (language)										
	ATOM_TE-that-hot-talk	Sinhala_(language)	ATOM_TE-that-hot-talk		8069		proper noun / phonetic noun			Sinhala (language)										
	inside-fruit-energy-talk	Nepali_(language)	inside-fruit-energy-talk		8070		proper noun / phonetic noun			Nepali (language)										
	like-love-energy-good-talk	Somali_(language)	like-love-energy-good-talk		8071		proper noun / phonetic noun			Somali (language)										
	all-arm-me-back-talk	Assamese_(language)	all-arm-me-back-talk		8072		proper noun / phonetic noun			Assamese (language)										
	eng-arm-talk	NKo_(language)	eng-arm-talk		8073		proper noun / phonetic noun			NKo (language)										
	song-good-talk	Tsonga_(language)	song-good-talk		8074		proper noun / phonetic noun			Tsonga (language)										
	eat-life-eat-talk	Kazakh_(language)	eat-life-eat-talk		8075		proper noun / phonetic noun			Kazakh (language)										
	love-good-hot-talk	Hungarian_(language)	love-good-hot-talk		8076		proper noun / phonetic noun			Hungarian (language)										
	sweng-life-eat-talk	Swedish_(language)	sweng-life-eat-talk		8077		proper noun / phonetic noun			Swedish (language)										
	three-ATOM_TE-one-talk	Chichewa_(language)	three-ATOM_TE-one-talk		8078		proper noun / phonetic noun			Chichewa (language)										
	down-place-talk	Zulu_(language)	down-place-talk		8079		proper noun / phonetic noun			Zulu (language)										
	see-law-three-talk	Sylheti_(language)	see-law-three-talk		8080		proper noun / phonetic noun			Sylheti (language)										
	kind-talk	Twi_(language)			8081		proper noun / phonetic noun			Twi (language)										
	small-stuff-hot-talk	Uyghur_(language)	small-stuff-hot-talk		8082		proper noun / phonetic noun			Uyghur (language)										
	place-yellow-big-talk	Kinyarwanda_(language)	place-yellow-big-talk		8083		proper noun / phonetic noun			Kinyarwanda (language)										
	eat-over-hot-talk	Catalan_(language)	eat-over-hot-talk		8084		proper noun / phonetic noun			Catalan (language)										
	this-water-eat-no-talk	Ilocano_(language)	this-water-eat-no-talk		8085		proper noun / phonetic noun			Ilocano (language)										
	place-number-see-me-talk	Quechua_(language)	place-number-see-me-talk		8086		proper noun / phonetic noun			Quechua (language)										
	gang-talk	Ga_(language)			8087		proper noun / phonetic noun			Ga (language)										
	like-number-talk	Shona_(language)	like-number-talk		8088		proper noun / phonetic noun			Shona (language)										
	high-arm-have-talk	Kikuyu_(language)	high-arm-have-talk		8089		proper noun / phonetic noun			Kikuyu (language)										
	place-with-talk	Tshiluba_(language)	place-with-talk		8090		proper noun / phonetic noun			Tshiluba (language)										
	sound-over-energy-talk	Santali_(language)	sound-over-energy-talk		8091		proper noun / phonetic noun			Santali (language)										
	this-long-go-talk	Hiligaynon_(language)	this-long-go-talk		8092		proper noun / phonetic noun			Hiligaynon (language)										
	with-life-with-energy-talk	Balinese_(language)	with-life-with-energy-talk		8093		proper noun / phonetic noun			Balinese (language)										
